ID,NOM_TOPOGRAPHIE,VILLE,ARRONDISSEMENT,ID_VOIE_PUBLIQUE,LATITUDE,LONGITUDE
166649,Chemin du Haut-Fossambault,Saint-Augustin-de-Desmaures,,,46.77668404076308,-71.51205586008986
166407,Rue Paul-Émile-Giroux,Québec,Beauport,,46.88770180733342,-71.18143421015823
166686,Rue de Sydney,Saint-Augustin-de-Desmaures,,,46.757206217225615,-71.42932286840487
80103,Avenue Watt,Québec,Sainte-Foy–Sillery–Cap-Rouge,120483,46.78504140812155,-71.31037344561443
38167,Avenue de Norvège,Québec,Sainte-Foy–Sillery–Cap-Rouge,121210,46.773421741238245,-71.32336940526969
60245,Rue Marsolet,Québec,Sainte-Foy–Sillery–Cap-Rouge,119710,46.768881808905846,-71.30978423936844
156259,Rue Vézina,Québec,La Haute-Saint-Charles,,46.88024778962857,-71.34520053020401
18758,Avenue Montbray,Québec,Sainte-Foy–Sillery–Cap-Rouge,118804,46.78681906750351,-71.29470561568434
37524,Avenue de Norvège,Québec,Sainte-Foy–Sillery–Cap-Rouge,121393,46.77645922710072,-71.32775846880908
74017,Avenue Chevremont,Québec,Sainte-Foy–Sillery–Cap-Rouge,118781,46.784670972069634,-71.29193384541344
9341,Rue Gagnon,Québec,La Haute-Saint-Charles,115904,46.877369422064014,-71.32174157804944
12802,Boulevard Bastien,Québec,Les Rivières,100573,46.85808525973731,-71.33338273575993
19557,Avenue Du Buisson,Québec,Sainte-Foy–Sillery–Cap-Rouge,116240,46.77969293517703,-71.25640037161868
5870,Avenue Alphonse-Dupuis,Québec,Beauport,126692,46.86332715039479,-71.2296380302353
19368,Chemin des Quatre-Bourgeois,Québec,Sainte-Foy–Sillery–Cap-Rouge,120789,46.75373667678422,-71.32969453387973
3498,Rue du Gabarit,Québec,Les Rivières,102288,46.84504905176747,-71.28506593278901
10896,Rue Nolin,Québec,Les Rivières,112859,46.81714931254135,-71.26746961258532
27284,Rue Berthelot,Québec,La Cité-Limoilou,100741,46.809011206269844,-71.21984510175645
7084,Boulevard Jean-Talon Est,Québec,Charlesbourg,138586,46.87855922781926,-71.26118097200143
4183,Rue Miloit,Québec,Beauport,202012,46.88551134883586,-71.19342180918946
8699,Avenue de l'Arlequin,Québec,Charlesbourg,124831,46.89015515681838,-71.2520919347571
14282,Avenue Trépanier,Québec,Charlesbourg,120865,46.853119232753244,-71.26793534801755
14101,Avenue de la Caravane,Québec,Charlesbourg,123711,46.87689764009501,-71.24498834324993
7021,Chemin de Château-Bigot,Québec,Charlesbourg,131468,46.88794164340825,-71.26867667301654
169278,Avenue Bergemont,Québec,La Cité-Limoilou,,46.8352377482497,-71.23003152685169
19863,Avenue Watt,Québec,Sainte-Foy–Sillery–Cap-Rouge,,46.78803428512396,-71.30134586046225
14196,Boulevard des Chutes,Québec,Beauport,129306,46.88406790841672,-71.15607959376146
384,Rue Alfred,L'Ancienne-Lorette,,116820,46.800547856639874,-71.3642313907448
19491,Avenue des Gouverneurs,Québec,Sainte-Foy–Sillery–Cap-Rouge,116166,46.77396642791004,-71.25905770153317
13031,Rue du Gardénia,Québec,Les Rivières,102327,46.81361031533619,-71.27657501446802
11994,Rue de la Reine,Québec,La Cité-Limoilou,104334,46.81402777869191,-71.23018053400645
390,Rue Notre-Dame,L'Ancienne-Lorette,,116864,46.80176850127245,-71.3603748193988
14092,Rue Brodier,Québec,Beauport,127746,46.89312394551436,-71.19717552844274
12934,Boulevard Wilfrid-Hamel,Québec,Les Rivières,,46.80716369872305,-71.30715032878337
9377,Rue Estiembre,Québec,La Haute-Saint-Charles,115736,46.875249837677224,-71.33108334519945
5202,Boulevard Wilfrid-Hamel,Québec,Les Rivières,,46.80624703110157,-71.31807817534832
14222,Avenue du Lac-Saint-Charles,Québec,La Haute-Saint-Charles,118931,46.90838672002846,-71.37527201463409
6037,Boulevard François-Xavier,Québec,Beauport,127303,46.87498530731822,-71.1615830485459
782,Avenue D'Assise,Québec,La Cité-Limoilou,100255,46.83074081753327,-71.24122917465067
42326,Rue Brindamour,Québec,Beauport,201381,46.899957048053224,-71.21500011033982
1116,Rue Caron,Québec,La Cité-Limoilou,101182,46.814113247529626,-71.22957061543144
9869,Rue de Fenouillet,Québec,Sainte-Foy–Sillery–Cap-Rouge,114199,46.74919799927124,-71.36491512493221
18037,Rue Jean-Durand,Québec,Sainte-Foy–Sillery–Cap-Rouge,118719,46.78874828818542,-71.28557445811384
535,Boulevard Charest Est,Québec,La Cité-Limoilou,101362,46.81270029702913,-71.22694681219907
750,Rue du Martin-Pêcheur,Québec,La Cité-Limoilou,103704,46.81866192225575,-71.21903409749339
723,Boulevard Langelier,Québec,La Cité-Limoilou,102906,46.81300323953289,-71.23174722435647
7627,Rue Anick,Québec,Beauport,127772,46.891118972169075,-71.1966568447598
805,,Québec,La Cité-Limoilou,,46.82534928491311,-71.24814222585664
6065,Rue Jos-Monferrand,Québec,Beauport,127777,46.894315482175195,-71.19370169951621
